date,gyaku_hiboku,max_rate,days,dividend,close_price,restriction
2025-03-27,0.0,8.0,1,20.0,905,
2024-03-27,0.0,0.0,3,20.0,1201,
2023-03-29,1.8,8.0,3,30.0,981,
2022-03-29,0.05,8.0,1,20.0,955,
2021-03-29,0.05,8.8,1,15.0,1061,
2020-03-27,0.05,9.6,1,14.0,1138,
2019-03-26,2.1,8.8,3,14.0,1059,
2018-03-27,0.0,8.8,3,13.0,1008,
2017-03-28,2.1,10.4,3,13.0,1235,
2016-03-28,0.0,0.0,1,25.0,1043,
2015-03-26,0.0,12.8,1,36.0,1553,
2014-03-26,0.0,12.0,1,36.0,1193,
2013-03-26,0.0,0.0,3,0.0,1077,
2012-03-27,0.0,0.0,3,0.0,814,
2011-03-28,0.0,0.0,1,0.0,651,
